id_job,id_array_job,id_array_task,id_user,kill_requid,nodes_alloc,nodelist,cpus_req,derived_ec,exit_code,gres_used,array_max_tasks,array_task_pending,constraints,flags,mem_req,partition,priority,state,timelimit,time_submit,time_eligible,time_start,time_end,time_suspended,track_steps,tres_alloc,tres_req,job_type
84181736810001,48050967117330,8,91933127333873,61026541062099,1,['r8579942-n139058'],8,0,35584,,0,0,xeon-g6,4,10240,normal,10442,5,60,1613674849,1613674850,1613674851,1613675181,0,0,"1=8,2=10240,4=1,5=8","1=8,2=10240,4=1,5=8",OTHER
68432640857644,32716616865493,11570,45487591934198,61026541062099,1,['r1457839-n386398'],1,0,0,,0,0,xeon-g6,4,9223372036854784308,normal,10494,3,4294967295,1615952800,1615952800,1615962827,1615963173,0,0,"1=1,2=8500,4=1,5=1","1=1,2=8500,4=1,5=1",LLSUB:BATCH
26324184737195,79367975456358,3,87544801505686,61026541062099,1,['r1485405-n911952'],20,0,256,,0,0,\N,4,9223372036854784308,normal,10025,5,4294967295,1625667140,1625667149,1625667149,1625670648,0,0,"1=20,2=170000,4=1,5=20,1002=1","1=20,2=170000,4=1,5=20,1002=1",OTHER
30153117553564,16618712154521,4294967294,37299602981324,61026541062099,1,['r8062914-n136082'],4,0,0,,0,0,xeon-g6,8,9223372036854780808,normal,10059,3,30240,1627899385,1627899385,1627907521,1627911735,0,0,"1=4,2=20000,4=1,5=4,1002=1","1=4,2=20000,4=1,5=4,1002=1",OTHER
903696094314,89475896797385,365,30273376745109,61026541062099,1,['r4858666-n386398'],1,0,32512,,0,0,xeon-g6,4,15360,normal,10300,5,360,1612494659,1612494659,1612516267,1612523112,0,0,"1=1,2=15360,4=1,5=1","1=1,2=15360,4=1,5=1",OTHER
46792825925281,16618712154521,4294967294,68766204299838,68766204299838,1,['r2652301-n685852'],20,0,0,,0,0,\N,4,32768,normal,10103,4,20160,1625797460,1625797460,1625797466,1626233509,0,0,"1=20,2=32768,3=18446744073709551614,4=1,5=20,1002=1","1=20,2=32768,4=1,5=20,1002=1",OTHER
10109218000549,16618712154521,4294967294,37299602981324,61026541062099,1,['r8607415-n976057'],4,0,0,,0,0,xeon-g6,4,9223372036854780808,normal,10061,3,30240,1627672379,1627672379,1627693246,1627702557,0,0,"1=4,2=20000,4=1,5=4,1002=1","1=4,2=20000,4=1,5=4,1002=1",OTHER
5889265351802,16618712154521,4294967294,5042570016904,61026541062099,2,"['r9352821-n386398', 'r8333645-n386398']",80,0,0,,0,0,xeon-g6,4,9223372036854784308,normal,10036,3,4294967295,1621002539,1621002539,1621111224,1621113463,0,0,"1=80,2=680000,4=2,5=80,1002=4","1=80,2=680000,4=2,5=80,1002=4",OTHER
83719717965191,57421108067179,27,80552680168709,61026541062099,1,['r9535192-n851693'],15,0,0,,0,0,\N,8,9223372036854784308,normal,10242,3,525600,1627400228,1627400231,1627402167,1627405382,0,0,"1=15,2=127500,4=1,5=15,1002=1","1=15,2=127500,4=1,5=15,1002=1",OTHER
87407109014843,16618712154521,4294967294,63872107965991,61026541062099,1,['r7343737-n386398'],1,0,0,,0,0,\N,4,8192,normal,10285,3,2880,1624789166,1624789166,1624910308,1624950835,0,0,"1=1,2=8192,4=1,5=1,1002=1","1=1,2=8192,4=1,5=1,1002=1",OTHER
