id_job,total_energy_J,idle_energy_J,idle_energy_saving_J,idle_duration_steps,total_steps,idle_pct_energy,idle_duration_min,total_duration_min,potential_saving_J,potential_saving_pct
53863407622556,3779595.719200603,2460.913829787234,1230.456914893617,6,1964,0.06511050420778139,1.0,327.3333333333333,1230.456914893617,0.032555252103890694
54233701240846,16662637.27178644,7560.106659521673,3780.0533297608363,16,10060,0.04537160916491064,2.6666666666666665,1676.6666666666667,3780.0533297608363,0.02268580458245532
54599849969130,15402078.811061835,10047.795367486171,5023.8976837430855,21,7259,0.06523661832109184,3.5,1209.8333333333333,5023.8976837430855,0.03261830916054592
55530827477617,15566615.612634668,1012.5424153166422,506.2712076583211,3,7542,0.0065045764635879525,0.5,1257.0,506.2712076583211,0.0032522882317939763
55640367274726,5962885.469315403,93007.90356635877,46503.951783179386,260,3836,1.5597801441092745,43.333333333333336,639.3333333333334,46503.951783179386,0.7798900720546372
55715457781581,4096946.9944365923,5602.397798539519,2801.1988992697593,13,1962,0.13674567442896474,2.1666666666666665,327.0,2801.1988992697593,0.06837283721448237
55796756251491,16222603.62496214,28759.060853351635,14379.530426675818,57,8122,0.1772777139737257,9.5,1353.6666666666667,14379.530426675818,0.08863885698686284
57650296217480,8167095.853630208,1661.6337843642611,830.8168921821306,4,3905,0.02034546690946058,0.6666666666666666,650.8333333333334,830.8168921821306,0.01017273345473029
57956674462928,8029053.115427325,4825.962108485582,2412.981054242791,12,4120,0.06010624215715794,2.0,686.6666666666666,2412.981054242791,0.03005312107857897
58433114066894,8176200.290490101,1653.7924291237114,826.8962145618557,3,3922,0.020226907002844213,0.5,653.6666666666666,826.8962145618557,0.010113453501422107
58575412272137,8196565.94121268,8918.781718285289,4459.390859142644,16,4112,0.10881119949808829,2.6666666666666665,685.3333333333334,4459.390859142644,0.054405599749044145
58621497011714,4054014.164630178,15064.049359072858,7532.024679536429,38,2028,0.37158354034628926,6.333333333333333,338.0,7532.024679536429,0.18579177017314463
58743695939281,16064017.818459509,7895.669723175475,3947.8348615877376,16,8196,0.04915127592863096,2.6666666666666665,1366.0,3947.8348615877376,0.02457563796431548
58887925703090,4105310.6768814414,1059.3287319478882,529.6643659739441,3,1950,0.025803862735976825,0.5,325.0,529.6643659739441,0.012901931367988412
59428617181294,8030870.722737013,10278.20404947333,5139.102024736665,26,3593,0.127983682023092,4.333333333333333,598.8333333333334,5139.102024736665,0.063991841011546
59783520242669,15442629.343381187,4764.900372340426,2382.450186170213,12,7248,0.03085549919245257,2.0,1208.0,2382.450186170213,0.015427749596226285
59998211023279,16051633.921896543,1049.4754065414825,524.7377032707412,3,7840,0.0065381219858861835,0.5,1306.6666666666667,524.7377032707412,0.0032690609929430917
60281059510701,8342312.373699893,108291.566107453,54145.7830537265,409,16158,1.2981001100948308,68.16666666666667,2693.0,54145.7830537265,0.6490500550474154
60593168283883,16322904.437242746,5684.024506346689,2842.0122531733446,12,8160,0.03482238426500787,2.0,1360.0,2842.0122531733446,0.017411192132503934
61142245450611,7563586.265506536,5019.651036163296,2509.825518081648,10,3572,0.06636601818181456,1.6666666666666667,595.3333333333334,2509.825518081648,0.03318300909090728
61330628283480,8948437.557473443,392011.0389734817,196005.51948674084,1431,17512,4.380776380856419,238.5,2918.6666666666665,196005.51948674084,2.1903881904282096
62007486250006,8261146.156614862,55863.48043903771,27931.740219518855,215,15316,0.6762194903706761,35.833333333333336,2552.6666666666665,27931.740219518855,0.33810974518533804
62504647031457,8069556.514259662,8340.398650486826,4170.199325243413,22,3969,0.1033563447476768,3.6666666666666665,661.5,4170.199325243413,0.0516781723738384
62954215765614,4112077.336346701,3993.7529218550835,1996.8764609275418,8,2006,0.09712251485530814,1.3333333333333333,334.3333333333333,1996.8764609275418,0.04856125742765407
63071045446593,5937224.540921921,70319.51476866762,35159.75738433381,230,5884,1.1843836170250106,38.333333333333336,980.6666666666666,35159.75738433381,0.5921918085125053
64026578427148,4122856.2373915385,8791.551690325929,4395.775845162964,19,2068,0.21323934631997243,3.1666666666666665,344.6666666666667,4395.775845162964,0.10661967315998622
64451654751838,16379854.310981227,21988.97321068847,10994.486605344235,46,7849,0.13424400970371778,7.666666666666667,1308.1666666666667,10994.486605344235,0.06712200485185889
65070338338114,15842246.409493418,5243.61911461908,2621.80955730954,9,7946,0.03309896197219138,1.5,1324.3333333333333,2621.80955730954,0.01654948098609569
66048555673701,8331123.504966196,96919.37879512462,48459.68939756231,362,15456,1.1633410396250976,60.333333333333336,2576.0,48459.68939756231,0.5816705198125488
66119856206673,4090026.2404759675,2121.226195378632,1060.613097689316,6,1998,0.05186338841512613,1.0,333.0,1060.613097689316,0.025931694207563066
66358237469570,3923593.4179736744,4276.759008236102,2138.379504118051,8,1826,0.10900107510234379,1.3333333333333333,304.3333333333333,2138.379504118051,0.054500537551171895
